gene,population,generation,mutated,mutator,strain
yijC (fabR),A+4,500,FALSE,non-mutator ,REL771A
hslU,A+4,500,FALSE,non-mutator ,REL771A
iclR,A+4,500,FALSE,non-mutator ,REL771A
nadR,A+4,500,FALSE,non-mutator ,REL771A
ybaL,A+4,500,FALSE,non-mutator ,REL771B
topA,A+4,500,FALSE,non-mutator ,REL771B
pykF,A+4,500,TRUE,non-mutator ,REL771B
spoT,A+4,500,TRUE,non-mutator ,REL771B
yijC (fabR),A+4,500,FALSE,non-mutator ,REL771B
hslU,A+4,500,FALSE,non-mutator ,REL771B
iclR,A+4,500,FALSE,non-mutator ,REL771B
nadR,A+4,500,FALSE,non-mutator ,REL771B
ybaL,A+4,1000,FALSE,non-mutator ,REL961A
topA,A+4,1000,FALSE,non-mutator ,REL961A
pykF,A+4,1000,TRUE,non-mutator ,REL961A
spoT,A+4,1000,TRUE,non-mutator ,REL961A
yijC (fabR),A+4,1000,FALSE,non-mutator ,REL961A
hslU,A+4,1000,FALSE,non-mutator ,REL961A
iclR,A+4,1000,FALSE,non-mutator ,REL961A
nadR,A+4,1000,FALSE,non-mutator ,REL961A
ybaL,A+4,1000,FALSE,non-mutator ,REL961B
topA,A+4,1000,FALSE,non-mutator ,REL961B
pykF,A+4,1000,TRUE,non-mutator ,REL961B
spoT,A+4,1000,TRUE,non-mutator ,REL961B
yijC (fabR),A+4,1000,FALSE,non-mutator ,REL961B
hslU,A+4,1000,FALSE,non-mutator ,REL961B
iclR,A+4,1000,FALSE,non-mutator ,REL961B
nadR,A+4,1000,FALSE,non-mutator ,REL961B
ybaL,A+4,1500,FALSE,non-mutator ,REL1065A
topA,A+4,1500,FALSE,non-mutator ,REL1065A
pykF,A+4,1500,TRUE,non-mutator ,REL1065A
spoT,A+4,1500,TRUE,non-mutator ,REL1065A
yijC (fabR),A+4,1500,FALSE,non-mutator ,REL1065A
hslU,A+4,1500,FALSE,non-mutator ,REL1065A
iclR,A+4,1500,FALSE,non-mutator ,REL1065A
nadR,A+4,1500,FALSE,non-mutator ,REL1065A
ybaL,A+4,1500,FALSE,non-mutator ,REL1065B
topA,A+4,1500,FALSE,non-mutator ,REL1065B
pykF,A+4,1500,TRUE,non-mutator ,REL1065B
spoT,A+4,1500,TRUE,non-mutator ,REL1065B
yijC (fabR),A+4,1500,FALSE,non-mutator ,REL1065B
hslU,A+4,1500,FALSE,non-mutator ,REL1065B
iclR,A+4,1500,FALSE,non-mutator ,REL1065B
nadR,A+4,1500,FALSE,non-mutator ,REL1065B
ybaL,A+4,2000,FALSE,non-mutator ,REL1161A
topA,A+4,2000,FALSE,non-mutator ,REL1161A
pykF,A+4,2000,TRUE,non-mutator ,REL1161A
spoT,A+4,2000,TRUE,non-mutator ,REL1161A
yijC (fabR),A+4,2000,FALSE,non-mutator ,REL1161A
hslU,A+4,2000,FALSE,non-mutator ,REL1161A
iclR,A+4,2000,TRUE,non-mutator ,REL1161A
nadR,A+4,2000,FALSE,non-mutator ,REL1161A
ybaL,A+4,2000,FALSE,non-mutator ,REL1161B
topA,A+4,2000,FALSE,non-mutator ,REL1161B
pykF,A+4,2000,TRUE,non-mutator ,REL1161B
spoT,A+4,2000,TRUE,non-mutator ,REL1161B
yijC (fabR),A+4,2000,FALSE,non-mutator ,REL1161B
hslU,A+4,2000,FALSE,non-mutator ,REL1161B
iclR,A+4,2000,FALSE,non-mutator ,REL1161B
nadR,A+4,2000,TRUE,non-mutator ,REL1161B
ybaL,A+4,5000,FALSE,non-mutator ,REL2176A
topA,A+4,5000,FALSE,non-mutator ,REL2176A
pykF,A+4,5000,TRUE,non-mutator ,REL2176A
spoT,A+4,5000,TRUE,non-mutator ,REL2176A
yijC (fabR),A+4,5000,FALSE,non-mutator ,REL2176A
hslU,A+4,5000,TRUE,non-mutator ,REL2176A
iclR,A+4,5000,FALSE,non-mutator ,REL2176A
nadR,A+4,5000,FALSE,non-mutator ,REL2176A
ybaL,A+4,5000,FALSE,non-mutator ,REL2176B
topA,A+4,5000,FALSE,non-mutator ,REL2176B
pykF,A+4,5000,TRUE,non-mutator ,REL2176B
spoT,A+4,5000,TRUE,non-mutator ,REL2176B
yijC (fabR),A+4,5000,FALSE,non-mutator ,REL2176B
hslU,A+4,5000,TRUE,non-mutator ,REL2176B
iclR,A+4,5000,FALSE,non-mutator ,REL2176B
nadR,A+4,5000,FALSE,non-mutator ,REL2176B
ybaL,A+4,10000,FALSE,non-mutator ,REL4533A
topA,A+4,10000,FALSE,non-mutator ,REL4533A
pykF,A+4,10000,TRUE,non-mutator ,REL4533A
spoT,A+4,10000,TRUE,non-mutator ,REL4533A
yijC (fabR),A+4,10000,FALSE,non-mutator ,REL4533A
hslU,A+4,10000,TRUE,non-mutator ,REL4533A
iclR,A+4,10000,TRUE,non-mutator ,REL4533A
nadR,A+4,10000,TRUE,non-mutator ,REL4533A
ybaL,A+4,10000,FALSE,non-mutator ,REL4533B
topA,A+4,10000,FALSE,non-mutator ,REL4533B
pykF,A+4,10000,TRUE,non-mutator ,REL4533B
spoT,A+4,10000,TRUE,non-mutator ,REL4533B
yijC (fabR),A+4,10000,FALSE,non-mutator ,REL4533B
hslU,A+4,10000,TRUE,non-mutator ,REL4533B
iclR,A+4,10000,TRUE,non-mutator ,REL4533B
nadR,A+4,10000,TRUE,non-mutator ,REL4533B
ybaL,A+4,15000,FALSE,non-mutator ,REL7186A
topA,A+4,15000,FALSE,non-mutator ,REL7186A
pykF,A+4,15000,TRUE,non-mutator ,REL7186A
spoT,A+4,15000,TRUE,non-mutator ,REL7186A
yijC (fabR),A+4,15000,FALSE,non-mutator ,REL7186A
hslU,A+4,15000,TRUE,non-mutator ,REL7186A
iclR,A+4,15000,TRUE,non-mutator ,REL7186A
nadR,A+4,15000,TRUE,non-mutator ,REL7186A
ybaL,A+4,15000,FALSE,non-mutator ,REL7186B
topA,A+4,15000,FALSE,non-mutator ,REL7186B
pykF,A+4,15000,TRUE,non-mutator ,REL7186B
spoT,A+4,15000,TRUE,non-mutator ,REL7186B
yijC (fabR),A+4,15000,FALSE,non-mutator ,REL7186B
hslU,A+4,15000,TRUE,non-mutator ,REL7186B
iclR,A+4,15000,TRUE,non-mutator ,REL7186B
nadR,A+4,15000,TRUE,non-mutator ,REL7186B
ybaL,A+4,20000,FALSE,non-mutator ,REL8603A
topA,A+4,20000,FALSE,non-mutator ,REL8603A
pykF,A+4,20000,TRUE,non-mutator ,REL8603A
spoT,A+4,20000,TRUE,non-mutator ,REL8603A
yijC (fabR),A+4,20000,FALSE,non-mutator ,REL8603A
hslU,A+4,20000,TRUE,non-mutator ,REL8603A
iclR,A+4,20000,TRUE,non-mutator ,REL8603A
nadR,A+4,20000,TRUE,non-mutator ,REL8603A
ybaL,A+4,20000,FALSE,non-mutator ,REL8603B
topA,A+4,20000,FALSE,non-mutator ,REL8603B
pykF,A+4,20000,TRUE,non-mutator ,REL8603B
spoT,A+4,20000,TRUE,non-mutator ,REL8603B
yijC (fabR),A+4,20000,FALSE,non-mutator ,REL8603B
hslU,A+4,20000,TRUE,non-mutator ,REL8603B
iclR,A+4,20000,TRUE,non-mutator ,REL8603B
nadR,A+4,20000,TRUE,non-mutator ,REL8603B
ybaL,A+5,500,FALSE,non-mutator ,REL772A
topA,A+5,500,FALSE,non-mutator ,REL772A
pykF,A+5,500,FALSE,non-mutator ,REL772A
spoT,A+5,500,FALSE,non-mutator ,REL772A
yijC (fabR),A+5,500,FALSE,non-mutator ,REL772A
hslU,A+5,500,FALSE,non-mutator ,REL772A
iclR,A+5,500,FALSE,non-mutator ,REL772A
nadR,A+5,500,FALSE,non-mutator ,REL772A
ybaL,A+5,500,FALSE,non-mutator ,REL772B
topA,A+5,500,FALSE,non-mutator ,REL772B
pykF,A+5,500,FALSE,non-mutator ,REL772B
spoT,A+5,500,FALSE,non-mutator ,REL772B
yijC (fabR),A+5,500,FALSE,non-mutator ,REL772B
hslU,A+5,500,FALSE,non-mutator ,REL772B
iclR,A+5,500,FALSE,non-mutator ,REL772B
nadR,A+5,500,FALSE,non-mutator ,REL772B
ybaL,A+5,1000,FALSE,non-mutator ,REL962A
topA,A+5,1000,FALSE,non-mutator ,REL962A
pykF,A+5,1000,TRUE,non-mutator ,REL962A
spoT,A+5,1000,FALSE,non-mutator ,REL962A
yijC (fabR),A+5,1000,TRUE,non-mutator ,REL962A
hslU,A+5,1000,FALSE,non-mutator ,REL962A
iclR,A+5,1000,FALSE,non-mutator ,REL962A
nadR,A+5,1000,TRUE,non-mutator ,REL962A
ybaL,A+5,1000,FALSE,non-mutator ,REL962B
topA,A+5,1000,FALSE,non-mutator ,REL962B
pykF,A+5,1000,FALSE,non-mutator ,REL962B
spoT,A+5,1000,FALSE,non-mutator ,REL962B
yijC (fabR),A+5,1000,FALSE,non-mutator ,REL962B
hslU,A+5,1000,FALSE,non-mutator ,REL962B
iclR,A+5,1000,FALSE,non-mutator ,REL962B
nadR,A+5,1000,FALSE,non-mutator ,REL962B
ybaL,A+5,1500,FALSE,non-mutator ,REL1066A
topA,A+5,1500,FALSE,non-mutator ,REL1066A
pykF,A+5,1500,TRUE,non-mutator ,REL1066A
spoT,A+5,1500,FALSE,non-mutator ,REL1066A
yijC (fabR),A+5,1500,FALSE,non-mutator ,REL1066A
hslU,A+5,1500,FALSE,non-mutator ,REL1066A
iclR,A+5,1500,FALSE,non-mutator ,REL1066A
nadR,A+5,1500,FALSE,non-mutator ,REL1066A
ybaL,A+5,1500,FALSE,non-mutator ,REL1066B
topA,A+5,1500,FALSE,non-mutator ,REL1066B
pykF,A+5,1500,TRUE,non-mutator ,REL1066B
spoT,A+5,1500,FALSE,non-mutator ,REL1066B
yijC (fabR),A+5,1500,TRUE,non-mutator ,REL1066B
hslU,A+5,1500,FALSE,non-mutator ,REL1066B
iclR,A+5,1500,FALSE,non-mutator ,REL1066B
nadR,A+5,1500,FALSE,non-mutator ,REL1066B
ybaL,A+5,2000,FALSE,non-mutator ,REL1162A
topA,A+5,2000,FALSE,non-mutator ,REL1162A
pykF,A+5,2000,TRUE,non-mutator ,REL1162A
spoT,A+5,2000,FALSE,non-mutator ,REL1162A
yijC (fabR),A+5,2000,FALSE,non-mutator ,REL1162A
hslU,A+5,2000,FALSE,non-mutator ,REL1162A
iclR,A+5,2000,FALSE,non-mutator ,REL1162A
nadR,A+5,2000,FALSE,non-mutator ,REL1162A
ybaL,A+5,2000,FALSE,non-mutator ,REL1162B
topA,A+5,2000,FALSE,non-mutator ,REL1162B
pykF,A+5,2000,TRUE,non-mutator ,REL1162B
spoT,A+5,2000,FALSE,non-mutator ,REL1162B
yijC (fabR),A+5,2000,FALSE,non-mutator ,REL1162B
hslU,A+5,2000,FALSE,non-mutator ,REL1162B
iclR,A+5,2000,FALSE,non-mutator ,REL1162B
nadR,A+5,2000,FALSE,non-mutator ,REL1162B
ybaL,A+5,5000,FALSE,non-mutator ,REL2177A
topA,A+5,5000,FALSE,non-mutator ,REL2177A
pykF,A+5,5000,TRUE,non-mutator ,REL2177A
spoT,A+5,5000,FALSE,non-mutator ,REL2177A
yijC (fabR),A+5,5000,FALSE,non-mutator ,REL2177A
hslU,A+5,5000,TRUE,non-mutator ,REL2177A
iclR,A+5,5000,TRUE,non-mutator ,REL2177A
nadR,A+5,5000,FALSE,non-mutator ,REL2177A
ybaL,A+5,5000,FALSE,non-mutator ,REL2177B
topA,A+5,5000,FALSE,non-mutator ,REL2177B
pykF,A+5,5000,TRUE,non-mutator ,REL2177B
spoT,A+5,5000,FALSE,non-mutator ,REL2177B
yijC (fabR),A+5,5000,FALSE,non-mutator ,REL2177B
hslU,A+5,5000,TRUE,non-mutator ,REL2177B
iclR,A+5,5000,TRUE,non-mutator ,REL2177B
nadR,A+5,5000,FALSE,non-mutator ,REL2177B
ybaL,A+5,10000,FALSE,non-mutator ,REL4534A
topA,A+5,10000,FALSE,non-mutator ,REL4534A
pykF,A+5,10000,TRUE,non-mutator ,REL4534A
spoT,A+5,10000,FALSE,non-mutator ,REL4534A
yijC (fabR),A+5,10000,FALSE,non-mutator ,REL4534A
hslU,A+5,10000,TRUE,non-mutator ,REL4534A
iclR,A+5,10000,TRUE,non-mutator ,REL4534A
nadR,A+5,10000,FALSE,non-mutator ,REL4534A
ybaL,A+5,10000,FALSE,non-mutator ,REL4534B
topA,A+5,10000,FALSE,non-mutator ,REL4534B
pykF,A+5,10000,TRUE,non-mutator ,REL4534B
spoT,A+5,10000,FALSE,non-mutator ,REL4534B
yijC (fabR),A+5,10000,FALSE,non-mutator ,REL4534B
hslU,A+5,10000,TRUE,non-mutator ,REL4534B
iclR,A+5,10000,TRUE,non-mutator ,REL4534B
nadR,A+5,10000,FALSE,non-mutator ,REL4534B
ybaL,A+5,15000,FALSE,non-mutator ,REL7187A
topA,A+5,15000,FALSE,non-mutator ,REL7187A
pykF,A+5,15000,TRUE,non-mutator ,REL7187A
spoT,A+5,15000,FALSE,non-mutator ,REL7187A
yijC (fabR),A+5,15000,FALSE,non-mutator ,REL7187A
hslU,A+5,15000,TRUE,non-mutator ,REL7187A
iclR,A+5,15000,TRUE,non-mutator ,REL7187A
nadR,A+5,15000,TRUE,non-mutator ,REL7187A
ybaL,A+5,15000,FALSE,non-mutator ,REL7187B
topA,A+5,15000,FALSE,non-mutator ,REL7187B
pykF,A+5,15000,TRUE,non-mutator ,REL7187B
spoT,A+5,15000,FALSE,non-mutator ,REL7187B
yijC (fabR),A+5,15000,FALSE,non-mutator ,REL7187B
hslU,A+5,15000,TRUE,non-mutator ,REL7187B
iclR,A+5,15000,TRUE,non-mutator ,REL7187B
nadR,A+5,15000,TRUE,non-mutator ,REL7187B
ybaL,A+5,20000,FALSE,non-mutator ,REL8604A
topA,A+5,20000,FALSE,non-mutator ,REL8604A
pykF,A+5,20000,TRUE,non-mutator ,REL8604A
spoT,A+5,20000,FALSE,non-mutator ,REL8604A
yijC (fabR),A+5,20000,FALSE,non-mutator ,REL8604A
hslU,A+5,20000,TRUE,non-mutator ,REL8604A
iclR,A+5,20000,TRUE,non-mutator ,REL8604A
nadR,A+5,20000,TRUE,non-mutator ,REL8604A
ybaL,A+5,20000,FALSE,non-mutator ,REL8604B
topA,A+5,20000,FALSE,non-mutator ,REL8604B
pykF,A+5,20000,TRUE,non-mutator ,REL8604B
spoT,A+5,20000,FALSE,non-mutator ,REL8604B
yijC (fabR),A+5,20000,FALSE,non-mutator ,REL8604B
hslU,A+5,20000,TRUE,non-mutator ,REL8604B
iclR,A+5,20000,TRUE,non-mutator ,REL8604B
nadR,A+5,20000,TRUE,non-mutator ,REL8604B
ybaL,A+6,500,FALSE,non-mutator ,REL773A
topA,A+6,500,FALSE,non-mutator ,REL773A
pykF,A+6,500,TRUE,non-mutator ,REL773A
spoT,A+6,500,FALSE,non-mutator ,REL773A
yijC (fabR),A+6,500,FALSE,non-mutator ,REL773A
hslU,A+6,500,FALSE,non-mutator ,REL773A
iclR,A+6,500,FALSE,non-mutator ,REL773A
nadR,A+6,500,FALSE,non-mutator ,REL773A
ybaL,A+6,500,FALSE,non-mutator ,REL773B
topA,A+6,500,FALSE,non-mutator ,REL773B
pykF,A+6,500,FALSE,non-mutator ,REL773B
spoT,A+6,500,FALSE,non-mutator ,REL773B
yijC (fabR),A+6,500,FALSE,non-mutator ,REL773B
hslU,A+6,500,FALSE,non-mutator ,REL773B
iclR,A+6,500,FALSE,non-mutator ,REL773B
nadR,A+6,500,FALSE,non-mutator ,REL773B
ybaL,A+6,1000,FALSE,non-mutator ,REL963A
topA,A+6,1000,FALSE,non-mutator ,REL963A
pykF,A+6,1000,TRUE,non-mutator ,REL963A
spoT,A+6,1000,FALSE,non-mutator ,REL963A
yijC (fabR),A+6,1000,FALSE,non-mutator ,REL963A
hslU,A+6,1000,FALSE,non-mutator ,REL963A
iclR,A+6,1000,FALSE,non-mutator ,REL963A
nadR,A+6,1000,FALSE,non-mutator ,REL963A
ybaL,A+6,1000,FALSE,non-mutator ,REL963B
topA,A+6,1000,FALSE,non-mutator ,REL963B
pykF,A+6,1000,TRUE,non-mutator ,REL963B
spoT,A+6,1000,FALSE,non-mutator ,REL963B
yijC (fabR),A+6,1000,FALSE,non-mutator ,REL963B
hslU,A+6,1000,FALSE,non-mutator ,REL963B
iclR,A+6,1000,FALSE,non-mutator ,REL963B
nadR,A+6,1000,FALSE,non-mutator ,REL963B
ybaL,A+6,1500,FALSE,non-mutator ,REL1067A
topA,A+6,1500,FALSE,non-mutator ,REL1067A
pykF,A+6,1500,TRUE,non-mutator ,REL1067A
spoT,A+6,1500,FALSE,non-mutator ,REL1067A
yijC (fabR),A+6,1500,FALSE,non-mutator ,REL1067A
hslU,A+6,1500,FALSE,non-mutator ,REL1067A
iclR,A+6,1500,TRUE,non-mutator ,REL1067A
nadR,A+6,1500,FALSE,non-mutator ,REL1067A
ybaL,A+6,1500,FALSE,non-mutator ,REL1067B
topA,A+6,1500,FALSE,non-mutator ,REL1067B
pykF,A+6,1500,TRUE,non-mutator ,REL1067B
spoT,A+6,1500,FALSE,non-mutator ,REL1067B
yijC (fabR),A+6,1500,FALSE,non-mutator ,REL1067B
hslU,A+6,1500,FALSE,non-mutator ,REL1067B
iclR,A+6,1500,FALSE,non-mutator ,REL1067B
nadR,A+6,1500,FALSE,non-mutator ,REL1067B
ybaL,A+6,2000,FALSE,non-mutator ,REL1163A
topA,A+6,2000,FALSE,non-mutator ,REL1163A
pykF,A+6,2000,TRUE,non-mutator ,REL1163A
spoT,A+6,2000,FALSE,non-mutator ,REL1163A
yijC (fabR),A+6,2000,FALSE,non-mutator ,REL1163A
hslU,A+6,2000,FALSE,non-mutator ,REL1163A
iclR,A+6,2000,FALSE,non-mutator ,REL1163A
nadR,A+6,2000,FALSE,non-mutator ,REL1163A
ybaL,A+6,2000,FALSE,non-mutator ,REL1163B
topA,A+6,2000,FALSE,non-mutator ,REL1163B
pykF,A+6,2000,TRUE,non-mutator ,REL1163B
spoT,A+6,2000,FALSE,non-mutator ,REL1163B
yijC (fabR),A+6,2000,FALSE,non-mutator ,REL1163B
hslU,A+6,2000,FALSE,non-mutator ,REL1163B
iclR,A+6,2000,FALSE,non-mutator ,REL1163B
nadR,A+6,2000,FALSE,non-mutator ,REL1163B
ybaL,A+6,5000,FALSE,non-mutator ,REL2178A
topA,A+6,5000,FALSE,non-mutator ,REL2178A
pykF,A+6,5000,TRUE,non-mutator ,REL2178A
spoT,A+6,5000,FALSE,non-mutator ,REL2178A
yijC (fabR),A+6,5000,FALSE,non-mutator ,REL2178A
hslU,A+6,5000,FALSE,non-mutator ,REL2178A
iclR,A+6,5000,TRUE,non-mutator ,REL2178A
nadR,A+6,5000,FALSE,non-mutator ,REL2178A
ybaL,A+6,5000,FALSE,non-mutator ,REL2178B
topA,A+6,5000,FALSE,non-mutator ,REL2178B
pykF,A+6,5000,TRUE,non-mutator ,REL2178B
spoT,A+6,5000,FALSE,non-mutator ,REL2178B
yijC (fabR),A+6,5000,FALSE,non-mutator ,REL2178B
hslU,A+6,5000,FALSE,non-mutator ,REL2178B
iclR,A+6,5000,TRUE,non-mutator ,REL2178B
nadR,A+6,5000,FALSE,non-mutator ,REL2178B
ybaL,A+6,10000,TRUE,point-mutator,REL4535A
topA,A+6,10000,TRUE,point-mutator,REL4535A
pykF,A+6,10000,TRUE,point-mutator,REL4535A
spoT,A+6,10000,FALSE,point-mutator,REL4535A
yijC (fabR),A+6,10000,FALSE,point-mutator,REL4535A
hslU,A+6,10000,TRUE,point-mutator,REL4535A
iclR,A+6,10000,TRUE,point-mutator,REL4535A
nadR,A+6,10000,TRUE,point-mutator,REL4535A
ybaL,A+6,10000,TRUE,point-mutator,REL4535B
topA,A+6,10000,TRUE,point-mutator,REL4535B
pykF,A+6,10000,TRUE,point-mutator,REL4535B
spoT,A+6,10000,FALSE,point-mutator,REL4535B
yijC (fabR),A+6,10000,FALSE,point-mutator,REL4535B
hslU,A+6,10000,TRUE,point-mutator,REL4535B
iclR,A+6,10000,TRUE,point-mutator,REL4535B
nadR,A+6,10000,TRUE,point-mutator,REL4535B
ybaL,A+6,15000,TRUE,point-mutator,REL7188A
topA,A+6,15000,TRUE,point-mutator,REL7188A
pykF,A+6,15000,TRUE,point-mutator,REL7188A
spoT,A+6,15000,FALSE,point-mutator,REL7188A
yijC (fabR),A+6,15000,TRUE,point-mutator,REL7188A
hslU,A+6,15000,TRUE,point-mutator,REL7188A
iclR,A+6,15000,TRUE,point-mutator,REL7188A
nadR,A+6,15000,TRUE,point-mutator,REL7188A
ybaL,A+6,15000,TRUE,point-mutator,REL7188B
topA,A+6,15000,TRUE,point-mutator,REL7188B
pykF,A+6,15000,TRUE,point-mutator,REL7188B
spoT,A+6,15000,FALSE,point-mutator,REL7188B
yijC (fabR),A+6,15000,TRUE,point-mutator,REL7188B
hslU,A+6,15000,TRUE,point-mutator,REL7188B
iclR,A+6,15000,TRUE,point-mutator,REL7188B
nadR,A+6,15000,TRUE,point-mutator,REL7188B
ybaL,A+6,20000,TRUE,point-mutator,REL8605A
topA,A+6,20000,TRUE,point-mutator,REL8605A
pykF,A+6,20000,TRUE,point-mutator,REL8605A
spoT,A+6,20000,FALSE,point-mutator,REL8605A
yijC (fabR),A+6,20000,TRUE,point-mutator,REL8605A
hslU,A+6,20000,TRUE,point-mutator,REL8605A
iclR,A+6,20000,TRUE,point-mutator,REL8605A
nadR,A+6,20000,TRUE,point-mutator,REL8605A
ybaL,A+6,20000,TRUE,point-mutator,REL8605B
topA,A+6,20000,TRUE,point-mutator,REL8605B
pykF,A+6,20000,TRUE,point-mutator,REL8605B
spoT,A+6,20000,FALSE,point-mutator,REL8605B
yijC (fabR),A+6,20000,TRUE,point-mutator,REL8605B
hslU,A+6,20000,TRUE,point-mutator,REL8605B
iclR,A+6,20000,TRUE,point-mutator,REL8605B
nadR,A+6,20000,TRUE,point-mutator,REL8605B