sample.id,off.target.percent,on.target.percent
DED167,12.6,87.4
DED132,15.6,84.4
DED160,16,84
DED135,18.9,81.1
DED175,14.1,85.9
DED120,69.2,30.8
DED172,13.4,86.6
DED127,19.2,80.8
DED248,22.9,77.1
DED144,14.5,85.5
DED111,73.2,26.8
DED143,15.9,84.1
DED116,71.9,28.1
DED156,16.1,83.9
DED151,14.1,85.9
DED239,21.2,78.8
DED173,17,83
DED121,69.4,30.6
DED174,14.3,85.7
DED249,20.6,79.4
DED134,18.1,81.9
DED161,16.7,83.3
DED133,18,82
DED150,17,83
DED157,16.3,83.7
DED238,20.9,79.1
DED117,70.4,29.6
DED142,17,83
DED66,18.7,81.3
DED110,70.5,29.5
DED148,13.8,86.2
DED108,71.7,28.3
DED267,17.7,82.3
DED260,19.8,80.2
DED235,20.9,79.1
DED139,16.8,83.2
DED256,19.5,80.5
DED251,16.8,83.2
DED181,17.2,82.8
DED179,14.7,85.3
DED244,21.5,78.5
DED125_126,18.3,81.7
DED243,23.8,76.2
DED109,72.1,27.9
DED234,19.9,80.1
DED261,17.6,82.4
DED266,17.8,82.2
DED165_166,13.6,86.4
DED149,14.8,85.2
DED178,15,85
DED180,14.7,85.3
DED242,22.6,77.4
DED245,20.8,79.2
DED138,18.3,81.7
DED250,21.3,78.7
DED257,16.6,83.4
DED264,16,84
DED263,18.4,81.6
DED236,20.6,79.4
DED159,15.6,84.4
DED119,69.4,30.6
DED247,23.2,76.8
DED240,18.2,81.8
DED128,19.3,80.7
DED182,18.4,81.6
DED255,17.6,82.4
DED252,17.9,82.1
DED168,13.6,86.4
DED118,68.8,31.2
DED237,17.4,82.6
DED262,17.4,82.6
DED265,16.4,83.6
DED158,15.4,84.6
DED253,19.7,80.3
DED254,16.8,83.2
DED169,14.3,85.7
DED241,21.8,78.2
DED246,21.9,78.1
DED184,13.6,86.4
DED183,18.5,81.5
DED129,13.7,86.3
DED105_106,69.9,30.1
DED176,14.3,85.7
DED123,70.9,29.1
DED171,13.9,86.1
DED124,66.2,33.8
DED259,18.4,81.6
DED164,17.4,82.6
DED131,14.8,85.2
DED163,18.6,81.4
DED136,15.8,84.2
DED268,18.3,81.7
DED155,14.3,85.7
DED152,17.7,82.3
DED107,70.9,29.1
DED147,13,87
DED112,71.5,28.5
DED140,17.1,82.9
DED115,70.5,29.5
DED64,16,84
DED258,18.6,81.4
DED137,14.8,85.2
DED162,15.5,84.5
DED130,14,86
DED170,13,87
DED122,69.5,30.5
DED177,17.5,82.5
DED114,72.5,27.5
DED141,16.7,83.3
DED65,70,30
DED113,72.8,27.2
DED269,21.5,78.5
DED145_146,17.5,82.5
DED153,14.9,85.1
DED70,21.6,78.4
DED154,14.7,85.3